Labels,MOF 1 PBS Ar 420 nm 400us Delta OD 10 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

17720.000,-2.23336113E-3,
17760.000,-6.14356296E-3,
1.78E04,-1.13706551E-2,
17840.000,-9.58910561E-4,
17880.000,-1.01659233E-2,
17920.000,-7.39507331E-3,
17960.000,-1.26025900E-2,
1.8E04,-4.88078687E-3,
18040.000,-1.64017212E-2,
18080.000,1.47400238E-2,
18120.000,-1.01275174E-2,
18160.000,-9.82838124E-3,
1.82E04,-3.58817540E-3,
18240.000,-3.51457857E-3,
18280.000,-9.58910154E-4,
18320.000,7.99339917E-3,
18360.000,3.33845208E-4,
1.84E04,1.72316283E-2,
18440.000,-4.88088373E-3,
18480.000,-6.11748127E-3,
18520.000,-4.81410418E-3,
18560.000,-4.85850731E-3,
1.86E04,-4.92608966E-3,
18640.000,-1.01276143E-2,
18680.000,-4.81415214E-3,
18720.000,-9.91062610E-4,
18760.000,3.47392139E-4,
1.88E04,5.53483889E-3,
18840.000,1.63341872E-3,
18880.000,3.27132409E-4,
18920.000,5.51738031E-3,
18960.000,1.62449118E-3,
1.9E04,6.89468347E-3,
19040.000,2.93386355E-3,
19080.000,-9.58813587E-4,
19120.000,-3.56958690E-3,
19160.000,4.25012736E-3,
1.92E04,4.22081305E-3,
19240.000,4.23038658E-3,
19280.000,3.33845470E-4,
19320.000,-4.85840999E-3,
19360.000,-7.54589029E-3,
1.94E04,1.63341884E-3,
19440.000,5.52608352E-3,
19480.000,6.90765912E-3,
19520.000,-2.29151198E-3,
19560.000,6.90770848E-3,
1.96E04,8.12223367E-3,
19640.000,1.20875388E-2,
19680.000,5.56142349E-3,
19720.000,5.51738031E-3,
19760.000,1.07427556E-2,
1.98E04,1.32512320E-2,
19840.000,-7.27756042E-3,
19880.000,1.64488598E-3,
19920.000,-1.14125740E-2,
19960.000,3.54033080E-4,
2E04,1.20307673E-2,
20040.000,1.63046084E-3,
20080.000,-7.51536386E-3,
20120.000,-1.85379349E-2,
20160.000,-2.38148356E-3,
2.02E04,-2.24778103E-3,
20240.000,1.32196434E-2,
20280.000,4.26005479E-3,
20320.000,1.34773152E-2,
20360.000,8.18893965E-3,
2.04E04,-2.27692816E-3,
20440.000,-7.39502581E-3,
20480.000,1.18917255E-2,
20520.000,3.20233143E-4,
20560.000,-3.51462699E-3,
2.06E04,3.27084010E-4,
20640.000,-9.91013716E-4,
20680.000,-2.26228684E-3,
20720.000,-1.66301057E-2,
20760.000,1.07185300E-2,
2.08E04,4.21116129E-3,
20840.000,-8.87316931E-3,
20880.000,-9.27232555E-4,
20920.000,-2.33613746E-3,
20960.000,-4.88093169E-3,
2.1E04,-4.88088280E-3,
21040.000,5.50868036E-3,
21080.000,-1.26938382E-2,
21120.000,-1.64583419E-2,
21160.000,1.08665898E-2,
2.12E04,2.19698567E-2,
21240.000,-3.62559198E-3,
21280.000,3.54129181E-4,
21320.000,5.57936681E-3,
21360.000,1.18373157E-2,
2.14E04,-9.80264391E-4,
21440.000,-4.94877668E-3,
21480.000,-1.01659233E-2,
21520.000,6.75594341E-3,
21560.000,3.47392139E-4,
2.16E04,-9.91013716E-4,
21640.000,9.51327942E-3,
21680.000,4.24027070E-3,
21720.000,-6.27610320E-3,
21760.000,2.92615197E-3,
2.18E04,1.08166551E-2,
21840.000,1.62753346E-3,
21880.000,-6.27605431E-3,
21920.000,4.25012736E-3,
21960.000,1.06226271E-2,
2.2E04,2.92796129E-3,
22040.000,1.72316767E-2,
22080.000,-3.56958760E-3,
22120.000,1.61869416E-3,
22160.000,-6.04039291E-3,
2.22E04,2.00413447E-2,
22240.000,2.85351882E-4,
22280.000,1.20307682E-2,
22320.000,6.85593346E-3,
22360.000,9.55534354E-3,
2.24E04,4.25012736E-3,
22440.000,-3.53288627E-3,
22480.000,-1.01275155E-2,
22520.000,-4.90339473E-3,
22560.000,8.17210041E-3,
2.26E04,6.88163983E-3,
22640.000,6.78044930E-3,
22680.000,4.23531374E-3,
22720.000,1.64483814E-3,
22760.000,1.08166067E-2,
2.28E04,-9.48256406E-4,
22840.000,1.09172845E-2,
22880.000,-7.39512080E-3,
22920.000,-3.60677880E-3,
22960.000,-8.80428310E-3,
2.3E04,8.12223274E-3,
23040.000,1.61262928E-3,
23080.000,5.55255730E-3,
23120.000,-7.51536386E-3,
23160.000,1.63050916E-3,
2.32E04,1.07184816E-2,
23240.000,-9.27232555E-4,
23280.000,-4.85845795E-3,
23320.000,5.58844581E-3,
23360.000,1.20874410E-2,
2.34E04,5.47462981E-3,
23440.000,-9.69579443E-4,
23480.000,2.93687102E-3,
23520.000,6.84322091E-3,
23560.000,5.52603463E-3,
2.36E04,5.53479092E-3,
23640.000,-6.24927506E-3,
23680.000,6.76813629E-3,
23720.000,3.67293891E-4,
23760.000,1.44888852E-2,
2.38E04,-8.94293841E-3,
23840.000,-2.30628089E-3,
23880.000,1.99887659E-2,
23920.000,3.33942182E-4,
23960.000,-7.51531543E-3,
2.4E04,-9.58909746E-4,
24040.000,-1.27399489E-2,
24080.000,-1.12461969E-2,
24120.000,-1.14547946E-2,
24160.000,2.92796129E-3,
2.42E04,4.23531374E-3,
24240.000,5.54364687E-3,
24280.000,4.25517419E-3,
24320.000,2.93586240E-3,
24360.000,-2.26228684E-3,
2.44E04,-4.83626267E-3,
24440.000,-1.00514395E-2,
24480.000,-4.88088280E-3,
24520.000,9.41014849E-3,
24560.000,4.21597296E-3,
2.46E04,-1.00893397E-2,
24640.000,-2.26228684E-3,
24680.000,-1.01275668E-2,
24720.000,4.23531374E-3,
24760.000,-9.48208093E-4,
2.48E04,-9.69482586E-4,
24840.000,1.07672252E-2,
24880.000,-2.30632932E-3,
24920.000,-2.26228684E-3,
24960.000,5.54354955E-3,
2.5E04,6.80534355E-3,
25040.000,1.20590683E-2,
25080.000,-1.03218965E-2,
25120.000,-3.66341462E-3,
25160.000,-1.02389965E-3,
2.52E04,-1.00136697E-2,
25240.000,-4.99485992E-3,
25280.000,-1.13289366E-2,
25320.000,1.62167463E-3,
25360.000,-4.74859960E-3,
2.54E04,5.51738031E-3,
25440.000,-3.42512154E-3,
25480.000,-4.94887447E-3,
25520.000,-8.73617362E-3,
25560.000,-3.51472222E-3,
2.56E04,-1.39713371E-2,
25640.000,-3.56958690E-3,
25680.000,-2.23336113E-3,
25720.000,1.62458851E-3,
25760.000,1.62753346E-3,
2.58E04,9.34981182E-3,
25840.000,3.13341210E-4,
25880.000,-1.13706058E-2,
25920.000,-1.14547946E-2,
25960.000,8.07315763E-3,
2.6E04,-4.92604217E-3,
26040.000,3.33845470E-4,
26080.000,8.18898808E-3,
26120.000,-3.56958690E-3,
26160.000,-8.80423468E-3,
2.62E04,6.79288339E-3,
26240.000,-2.27683131E-3,
