Labels,NQ D 600 nm 400 us Delta OD KV 1_75 Ar 20 disparos,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

30480.000,-1.87260134E-3,
30520.000,2.13640742E-4,
30560.000,-1.11161172E-3,
3.06E04,1.53103110E-3,
30640.000,1.01957266E-4,
30680.000,7.62162555E-4,
30720.000,-6.98643544E-6,
30760.000,-3.38308426E-4,
3.08E04,1.75065279E-3,
30840.000,-9.98053816E-4,
30880.000,-3.37354635E-4,
30920.000,1.31103746E-3,
30960.000,5.44949668E-4,
3.1E04,-2.09671888E-3,
31040.000,-2.09042244E-3,
31080.000,8.71682132E-4,
31120.000,8.72793142E-4,
31160.000,2.11038699E-4,
3.12E04,5.42581198E-4,
31240.000,1.03701059E-4,
31280.000,6.51863695E-4,
31320.000,-9.95479408E-4,
31360.000,-1.10629690E-3,
3.14E04,-1.98291824E-3,
31440.000,-4.47522179E-4,
31480.000,-5.58685220E-4,
31520.000,-1.16359952E-4,
31560.000,3.22054606E-4,
3.16E04,-7.76950910E-4,
31640.000,2.29937350E-3,
31680.000,3.22413427E-4,
31720.000,-1.21518341E-3,
31760.000,1.31156470E-3,
3.18E04,1.20169553E-3,
31840.000,7.62806041E-4,
31880.000,1.20112847E-3,
31920.000,-1.10377849E-3,
31960.000,1.03287217E-4,
3.2E04,-9.72550151E-6,
32040.000,1.00558929E-4,
32080.000,6.51686511E-4,
32120.000,-8.96990787E-6,
32160.000,6.53186871E-4,
3.22E04,1.03701059E-4,
32240.000,-2.27313067E-4,
32280.000,-6.70022098E-4,
32320.000,-7.79272348E-4,
32360.000,-6.66722597E-4,
3.24E04,-3.36087396E-6,
32440.000,2.14856220E-4,
32480.000,-5.17142053E-6,
32520.000,-5.92296010E-6,
32560.000,-6.68387453E-4,
3.26E04,-6.67364628E-4,
32640.000,1.64105638E-3,
32680.000,3.21173662E-4,
32720.000,-9.94918519E-4,
32760.000,4.32906672E-4,
3.28E04,4.32110653E-4,
32840.000,-3.34596902E-4,
32880.000,8.71714903E-4,
32920.000,-1.00119680E-3,
32960.000,1.20116677E-3,
3.3E04,-9.92415822E-4,
33040.000,1.64075161E-3,
33080.000,1.53103401E-3,
33120.000,-3.35482415E-4,
33160.000,5.42548485E-4,
3.32E04,1.53106870E-3,
33240.000,-7.73559499E-4,
33280.000,1.75096071E-3,
33320.000,-4.44564561E-4,
33360.000,-1.15148679E-4,
3.34E04,5.44240465E-4,
33440.000,-1.21589866E-3,
33480.000,4.16498026E-3,
33520.000,-1.33470155E-3,
33560.000,5.41219837E-4,
3.36E04,7.62078795E-4,
33640.000,-5.60721615E-4,
33680.000,-1.77313865E-3,
33720.000,3.22380714E-4,
33760.000,-1.13906492E-4,
3.38E04,-4.46091377E-4,
33840.000,2.13608073E-4,
33880.000,1.42106286E-3,
33920.000,-4.48988139E-4,
33960.000,1.04745362E-4,
3.4E04,-1.17103162E-4,
34040.000,-6.66211883E-4,
34080.000,2.13640742E-4,
34120.000,-2.28447549E-4,
34160.000,8.71682132E-4,
3.42E04,1.97151047E-3,
