Labels,MOF 1 Air 420 nm 40 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,39996.0000,
Step,4.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

2344.000,-1.12737156E-3,
2348.000,1.24175695E-5,
2352.000,2.45837509E-5,
2356.000,8.12249898E-4,
2360.00,4.93541127E-3,
2364.000,-2.21488089E-3,
2368.000,1.50482694E-3,
2372.000,-3.32040974E-4,
2376.000,-4.12546890E-3,
2380.00,1.55347923E-3,
2384.000,4.19627722E-5,
2388.000,-1.85269106E-3,
2392.000,7.64703669E-4,
2396.000,3.05436319E-3,
2400.00,1.52421952E-3,
2404.000,-1.83707697E-3,
2408.000,-7.31153996E-4,
2412.000,2.54636016E-5,
2416.000,-7.50426063E-3,
2420.00,1.40584179E-5,
2424.000,3.76961325E-5,
2428.000,-5.63681033E-3,
2432.000,1.87464011E-5,
2436.000,-7.13694666E-4,
2440.00,8.01906863E-4,
2444.000,4.10208013E-4,
2448.000,2.62887570E-5,
2452.000,-7.32852437E-4,
2456.000,-1.11968315E-3,
2460.00,7.76072906E-4,
2464.000,-1.46843342E-3,
2468.000,-3.60112841E-4,
2472.000,-2.62405747E-3,
2476.000,1.54280546E-3,
2480.00,-3.40129086E-3,
2484.000,-2.92937271E-3,
2488.000,-2.60843057E-3,
2492.000,-3.43000353E-3,
2496.000,-1.10108324E-3,
2500.00,1.51625648E-3,
2504.000,2.66213319E-3,
2508.000,-1.86116702E-3,
2512.000,2.30593770E-3,
2516.000,1.53336138E-3,
2520.00,-3.75622720E-3,
2524.000,-2.99134804E-3,
2528.000,-3.51959199E-4,
2532.000,1.93191017E-3,
2536.000,-2.98862066E-3,
2540.00,3.42245866E-3,
2544.000,4.13170317E-4,
2548.000,-1.09953526E-3,
2552.000,-7.61361734E-4,
2556.000,-2.26564379E-3,
2560.00,2.65817135E-3,
2564.000,-1.49788440E-3,
2568.000,-3.40195280E-3,
2572.000,4.06965526E-4,
2576.000,-9.06438567E-3,
2580.00,-7.42200005E-4,
2584.000,5.28870383E-3,
2588.000,-1.52928871E-3,
2592.000,-1.09658297E-3,
2596.000,3.22089218E-5,
2600.00,-2.25206674E-3,
2604.000,-3.99509037E-4,
2608.000,1.90968800E-3,
2612.000,-1.48259162E-3,
2616.000,-4.86097485E-3,
2620.00,2.25704536E-3,
2624.000,-4.56067361E-3,
2628.000,-3.78021644E-3,
2632.000,-1.10970146E-3,
2636.000,4.03804122E-4,
2640.00,1.15802523E-3,
2644.000,7.92876584E-4,
2648.000,-1.11557241E-3,
2652.000,-2.63000606E-3,
2656.000,-7.51006359E-4,
2660.00,2.61850073E-3,
2664.000,-7.12450012E-4,
2668.000,-7.07089202E-4,
2672.000,-2.26076506E-3,
2676.000,-2.62051355E-3,
2680.00,1.91323366E-3,
2684.000,1.91197952E-3,
2688.000,3.05360649E-3,
2692.000,1.95387332E-3,
2696.000,-3.56527627E-4,
2700.00,7.80199422E-4,
2704.000,1.91619212E-3,
2708.000,4.19935957E-3,
2712.000,-7.28821615E-4,
2716.000,4.54404531E-3,
2720.00,-3.54247750E-4,
2724.000,-2.21780827E-3,
2728.000,1.96052952E-5,
2732.000,-1.84969686E-3,
2736.000,-2.60340469E-3,
2740.00,2.67057610E-3,
2744.000,1.18122553E-3,
2748.000,1.90236408E-3,
2752.000,2.24819069E-5,
2756.000,7.80162169E-4,
2760.00,-3.46098939E-4,
2764.000,2.66990159E-3,
2768.000,-1.50616455E-3,
2772.000,1.16283516E-3,
2776.000,-3.49014415E-4,
2780.00,2.28811987E-3,
2784.000,6.39856886E-3,
2788.000,-3.74510698E-3,
2792.000,-3.27649701E-4,
2796.000,-2.25211401E-3,
2800.00,1.95431749E-5,
2804.000,-1.47833372E-3,
2808.000,2.63892184E-3,
2812.000,3.52020106E-5,
2816.000,3.38952104E-3,
2820.00,1.55475154E-3,
2824.000,1.17281091E-3,
2828.000,-4.80654853E-6,
2832.000,3.79486824E-3,
2836.000,-7.23991427E-4,
2840.00,7.84929201E-4,
2844.000,-7.23403529E-4,
2848.000,4.18858882E-3,
2852.000,7.85605516E-4,
2856.000,-2.99689779E-3,
2860.00,1.91009138E-3,
2864.000,3.41105950E-3,
2868.000,-1.13481923E-3,
2872.000,4.57886700E-3,
2876.000,3.84669448E-3,
2880.00,4.56744432E-3,
2884.000,3.00211995E-3,
2888.000,2.65790173E-3,
2892.000,-2.63206521E-3,
2896.000,4.92777163E-3,
2900.00,7.94514839E-4,
2904.000,4.27837367E-4,
2908.000,1.50984572E-3,
2912.000,3.03960731E-3,
2916.000,1.51624286E-3,
2920.00,3.42198717E-3,
2924.000,-2.97004520E-3,
2928.000,4.10209497E-4,
2932.000,1.17878616E-3,
2936.000,2.27337400E-3,
2940.00,3.81780392E-3,
2944.000,-7.09727581E-4,
2948.000,4.00865218E-4,
2952.000,-7.36748567E-4,
2956.000,3.08905425E-3,
2960.00,2.79902815E-5,
2964.000,4.16030001E-4,
2968.000,-2.61228834E-3,
2972.000,-2.24545947E-3,
2976.000,-3.57320474E-4,
2980.00,3.89801949E-4,
2984.000,-1.86657521E-3,
2988.000,-3.71769280E-3,
2992.000,3.02887615E-3,
2996.000,-2.61558429E-3,
3000.00,-3.32122087E-4,
3004.000,-1.47170492E-3,
3008.000,7.91052706E-4,
3012.000,-3.39082233E-3,
3016.000,-2.62423325E-3,
3020.00,-3.39217414E-3,
3024.000,1.92138506E-3,
3028.000,1.94700435E-3,
3032.000,3.86134314E-4,
3036.000,7.62149808E-4,
3040.00,-1.08457182E-3,
3044.000,-3.37631581E-3,
3048.000,-3.71312402E-4,
3052.000,2.29312955E-5,
3056.000,4.14913706E-3,
3060.00,1.92007120E-3,
3064.000,-1.47671881E-3,
3068.000,-1.10653846E-3,
3072.000,-2.63639260E-3,
3076.000,-3.35038494E-4,
3080.00,-3.78718134E-3,
3084.000,-2.63513182E-3,
3088.000,-4.89335647E-3,
3092.000,7.78625079E-4,
3096.000,-2.25454010E-3,
3100.00,3.83635052E-4,
3104.000,1.15213450E-3,
3108.000,-1.12140633E-3,
3112.000,3.02777952E-3,
3116.000,2.28557247E-3,
3120.00,1.54463085E-3,
3124.000,4.98381909E-3,
3128.000,-3.78211634E-3,
3132.000,-4.54736687E-3,
3136.000,4.17358894E-3,
3140.00,-1.11739093E-3,
3144.000,-2.99373758E-3,
3148.000,-1.47559983E-3,
3152.000,2.31087930E-3,
3156.000,-1.46264653E-3,
3160.00,-1.12590892E-3,
3164.000,1.54340593E-3,
3168.000,-4.49745404E-3,
3172.000,-3.73615813E-3,
3176.000,-1.11235538E-3,
3180.00,-3.40234546E-4,
3184.000,-7.01981073E-4,
3188.000,4.45208570E-4,
3192.000,-5.67261176E-3,
3196.000,-3.12829070E-4,
3200.00,-3.76576255E-3,
3204.000,4.12827329E-4,
3208.000,-4.50634817E-3,
3212.000,-1.47314405E-3,
3216.000,2.27745553E-3,
3220.00,-3.67529807E-4,
3224.000,-2.27916264E-3,
3228.000,-3.02391732E-3,
3232.000,1.93392416E-3,
3236.000,-2.21068598E-3,
3240.00,-2.61770957E-3,
3244.000,-7.30674015E-4,
3248.000,7.77226058E-4,
3252.000,1.16097298E-3,
3256.000,3.89887398E-4,
3260.00,-1.89274549E-3,
3264.000,1.91894721E-3,
3268.000,-1.48317171E-3,
3272.000,-7.31742650E-4,
3276.000,-1.82998076E-3,
3280.00,-1.11426727E-3,
3284.000,-3.70672497E-4,
3288.000,4.21866745E-4,
3292.000,-7.57221191E-4,
3296.000,-3.75831313E-3,
3300.00,-5.64812263E-3,
3304.000,4.10173030E-4,
3308.000,1.93957624E-3,
3312.000,3.02780699E-3,
3316.000,3.79386405E-3,
3320.00,-1.86299393E-3,
3324.000,-7.39502371E-4,
3328.000,1.54997897E-3,
3332.000,1.94126624E-3,
3336.000,-4.08653868E-3,
3340.00,-3.47502675E-4,
3344.000,-2.99764844E-3,
3348.000,-4.11045318E-3,
3352.000,7.76101020E-4,
3356.000,-3.33981682E-3,
3360.00,-7.57685513E-4,
3364.000,4.61376365E-3,
3368.000,4.03775077E-4,
3372.000,3.84109840E-3,
3376.000,4.04100952E-4,
3380.00,1.55055802E-3,
3384.000,2.28947238E-3,
3388.000,-1.49674341E-3,
3392.000,-1.48354832E-3,
3396.000,-1.90328539E-3,
3400.00,-4.54453658E-3,
3404.000,-1.09645841E-3,
3408.000,-2.23970809E-3,
3412.000,7.63849297E-4,
3416.000,3.45408078E-3,
3420.00,-7.19591568E-4,
3424.000,2.27750745E-3,
3428.000,4.02048900E-4,
3432.000,1.14730617E-3,
3436.000,-2.94965552E-3,
3440.00,4.17647790E-3,
3444.000,7.72897562E-4,
3448.000,-1.87952153E-3,
