Labels,VMOF  O2 420 nm 10 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9999.000,
Step,1.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

894.00,-9.33287200E-4,
895.00,8.61462380E-4,
896.00,-7.53827335E-4,
897.00,-3.53716459E-4,
898.00,-9.60063189E-4,
899.00,-2.15133443E-3,
900.00,-7.23915116E-4,
901.00,-1.18033227E-3,
902.00,8.40905181E-4,
903.00,-1.10166043E-3,
904.00,-9.45894921E-4,
905.00,-1.15831045E-3,
906.00,2.69221142E-4,
907.00,8.94621131E-4,
908.00,-1.18501252E-3,
909.00,-5.42806287E-4,
910.00,-3.49027250E-4,
911.00,-9.31696210E-4,
912.00,2.50257232E-4,
913.00,-7.20791635E-4,
914.00,4.71283391E-4,
915.00,4.85498429E-4,
916.00,-5.44368697E-4,
917.00,1.05586916E-3,
918.00,7.51360203E-5,
919.00,-2.16229050E-3,
920.00,7.98900510E-5,
921.00,4.41288779E-4,
922.00,8.86723050E-4,
923.00,1.66657916E-3,
924.00,4.82977630E-5,
925.00,-1.18348247E-3,
926.00,-1.54820865E-3,
927.00,-1.14885927E-3,
928.00,1.29151705E-3,
929.00,-9.25452216E-4,
930.00,-1.72453161E-4,
