Labels,VMOF  Air 420 nm 40 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,39996.0000,
Step,4.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

2804.000,-2.60094443E-4,
2808.000,1.59248232E-3,
2812.000,-3.16285715E-3,
2816.000,-3.19564785E-3,
2820.00,-5.65800117E-3,
2824.000,5.14628412E-3,
2828.000,-8.09223682E-4,
2832.000,-3.81436641E-3,
2836.000,-2.60513858E-3,
2840.00,-1.99426105E-3,
2844.000,-4.38574981E-3,
2848.000,3.35884723E-3,
2852.000,-2.02192250E-3,
2856.000,-2.60436093E-3,
2860.00,9.48848727E-4,
2864.000,9.80261830E-4,
2868.000,3.98219191E-3,
2872.000,-3.79523891E-3,
2876.000,-2.01285421E-3,
2880.00,9.08256217E-4,
2884.000,3.91825661E-3,
2888.000,-3.82371363E-3,
2892.000,9.58864694E-4,
2896.000,9.58191347E-4,
2900.00,-4.99300892E-3,
2904.000,-8.54119472E-3,
2908.000,3.62928055E-4,
2912.000,-8.31032987E-4,
2916.000,3.34527949E-3,
2920.00,9.69607616E-4,
2924.000,1.52731221E-3,
2928.000,2.75715697E-3,
2932.000,9.44799336E-4,
2936.000,-1.45894254E-3,
2940.00,-1.43777835E-3,
2944.000,-3.25400382E-3,
2948.000,2.76078121E-3,
2952.000,-3.23637039E-3,
2956.000,3.55312193E-4,
2960.00,9.64876555E-4,
2964.000,-8.43487331E-4,
2968.000,3.95080447E-3,
2972.000,-2.15629581E-4,
2976.000,-3.21610365E-3,
2980.00,1.59795175E-3,
2984.000,-3.87807912E-3,
2988.000,-5.55747421E-3,
2992.000,3.35329142E-3,
2996.000,1.56074227E-3,
3000.00,2.78971065E-3,
3004.000,2.12226552E-3,
3008.000,2.13904167E-3,
3012.000,9.60149162E-4,
3016.000,3.32206185E-3,
3020.00,-3.16422549E-3,
3024.000,3.53465584E-4,
3028.000,-5.01596183E-3,
3032.000,-1.45424658E-3,
3036.000,5.15222829E-3,
3040.00,-2.62350106E-4,
3044.000,-2.02702521E-3,
3048.000,2.16440577E-3,
3052.000,-8.44848459E-4,
3056.000,-3.21391947E-3,
3060.00,-3.21440538E-3,
3064.000,-8.24823859E-4,
3068.000,-8.29500437E-4,
3072.000,-8.09169142E-4,
3076.000,2.15111277E-3,
3080.00,5.17559005E-3,
3084.000,2.14083027E-3,
3088.000,4.55094362E-3,
3092.000,-3.82280652E-3,
3096.000,9.74136638E-4,
3100.00,-8.45056667E-4,
3104.000,5.15309954E-3,
3108.000,-2.66674487E-3,
3112.000,-1.41701591E-3,
3116.000,-8.38800333E-4,
3120.00,3.80389160E-4,
3124.000,2.14373437E-3,
3128.000,-4.99336096E-3,
3132.000,-2.02195626E-3,
3136.000,-1.42450770E-3,
3140.00,-8.37250787E-4,
3144.000,-3.81488865E-3,
3148.000,2.13999604E-3,
3152.000,2.14938703E-3,
3156.000,9.91480192E-4,
3160.00,-1.42697128E-3,
3164.000,1.53247314E-3,
3168.000,4.53435397E-3,
3172.000,3.53839132E-4,
3176.000,-8.35771323E-4,
3180.00,2.73737451E-3,
3184.000,-4.42965422E-3,
3188.000,-1.44953711E-3,
3192.000,-3.83078633E-3,
3196.000,-1.96615607E-3,
3200.00,-1.42222049E-3,
3204.000,3.62951105E-4,
3208.000,-2.01301812E-3,
3212.000,-2.46179203E-4,
3216.000,-1.98452361E-3,
3220.00,3.38265765E-3,
3224.000,2.75491574E-3,
3228.000,-2.00332329E-3,
3232.000,3.94812599E-3,
3236.000,-3.23251681E-3,
3240.00,9.87447682E-4,
3244.000,3.91910737E-3,
3248.000,-2.34469757E-4,
3252.000,3.61504121E-4,
3256.000,-2.03145319E-3,
3260.00,2.16509216E-3,
3264.000,3.75510164E-4,
3268.000,9.45573905E-4,
3272.000,-8.09313206E-4,
3276.000,3.42650630E-4,
3280.00,-3.82148288E-3,
3284.000,1.55075733E-3,
3288.000,-1.42762228E-3,
3292.000,1.56052981E-3,
3296.000,1.57011976E-3,
3300.00,-8.29471857E-4,
3304.000,9.50823771E-4,
3308.000,-3.24005401E-3,
3312.000,4.53311438E-3,
3316.000,-2.48382945E-4,
3320.00,3.34477052E-3,
3324.000,3.64451931E-4,
3328.000,-2.24963500E-4,
3332.000,-4.34527406E-3,
3336.000,2.13798671E-3,
3340.00,2.14004051E-3,
3344.000,2.16043508E-3,
3348.000,-2.66202935E-3,
3352.000,-2.22882692E-4,
3356.000,-2.02683196E-3,
3360.00,-8.23365408E-4,
3364.000,2.77662836E-3,
3368.000,-3.21145775E-3,
3372.000,-2.03583390E-3,
3376.000,-3.20922164E-3,
3380.00,-8.21786409E-4,
3384.000,2.75793835E-3,
3388.000,-3.25073511E-3,
3392.000,3.81597056E-4,
3396.000,3.31782998E-4,
3400.00,-2.03637523E-3,
3404.000,-6.24645175E-3,
3408.000,3.31893447E-4,
3412.000,-8.29493743E-4,
3416.000,-3.81213473E-3,
3420.00,3.39700578E-4,
3424.000,3.53678479E-4,
3428.000,1.59747689E-3,
3432.000,3.69092537E-4,
3436.000,1.56418688E-3,
3440.00,1.53610832E-3,
3444.000,-2.03129649E-3,
3448.000,6.33384474E-3,
3452.000,-3.80294374E-3,
3456.000,1.54604123E-3,
3460.00,9.58854391E-4,
3464.000,2.15311162E-3,
3468.000,-2.22839764E-4,
3472.000,3.62985826E-4,
3476.000,9.56196513E-4,
3480.00,4.55135666E-3,
3484.000,2.15106085E-3,
3488.000,4.50690277E-3,
3492.000,9.51530586E-4,
3496.000,3.32367723E-3,
3500.00,-2.01723608E-3,
3504.000,-5.57573931E-3,
3508.000,-2.78835505E-4,
3512.000,3.38166050E-4,
3516.000,9.52754344E-4,
3520.00,-2.34341933E-4,
3524.000,-2.59857625E-3,
3528.000,8.85922636E-4,
3532.000,8.78310297E-3,
3536.000,-3.88279487E-3,
