Labels,MOF 2 O2  420 nm 20 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,19998.0000,
Step,2.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

1454.000,1.53593475E-3,
1456.000,-1.14101556E-3,
1458.000,-8.63606765E-5,
1460.00,-2.45572301E-3,
1462.000,-8.73416779E-4,
1464.000,-1.11194537E-3,
1466.000,2.03903043E-3,
1468.000,-8.38114996E-4,
1470.00,7.16740964E-4,
1472.000,-1.40220451E-3,
1474.000,4.43992903E-4,
1476.000,-3.56505043E-4,
1478.000,4.62768861E-4,
1480.00,-6.03633467E-4,
1482.000,-8.87979928E-4,
1484.000,2.02716561E-4,
1486.000,-3.14940087E-4,
1488.000,-8.71319382E-4,
1490.00,9.87553969E-4,
1492.000,-8.77572107E-4,
1494.000,-5.91119984E-4,
1496.000,6.93823386E-4,
1498.000,-3.17040220E-4,
1500.00,-5.51976555E-5,
1502.000,-1.15420356E-4,
1504.000,1.03127491E-3,
1506.000,-1.38560322E-3,
1508.000,4.58600756E-4,
1510.00,2.54478352E-3,
1512.000,2.15173932E-4,
1514.000,-5.68309741E-4,
1516.000,1.86014731E-4,
1518.000,-6.09850453E-4,
1520.00,-6.55855765E-5,
1522.000,1.55889685E-3,
1524.000,9.91727109E-4,
1526.000,2.87118275E-3,
1528.000,1.25432038E-3,
1530.00,-1.15758670E-3,
1532.000,4.93971340E-4,
1534.000,4.73169435E-4,
1536.000,-1.68598932E-3,
1538.000,-3.50244809E-4,
1540.00,-6.09810872E-4,
1542.000,2.60338164E-3,
1544.000,3.66086164E-3,
1546.000,2.32948642E-3,
1548.000,2.25528900E-4,
1550.00,1.54218264E-3,
1552.000,-8.69261450E-4,
1554.000,-1.68188126E-3,
1556.000,-2.20345240E-3,
1558.000,4.83570242E-4,
1560.00,4.44032601E-4,
1562.000,1.48165843E-3,
1564.000,2.08708085E-3,
1566.000,2.07034638E-3,
1568.000,7.18806346E-4,
1570.00,-1.67153194E-3,
1572.000,-5.82883076E-4,
1574.000,1.23554992E-3,
1576.000,2.06802870E-4,
1578.000,-6.22284191E-4,
1580.00,-2.98463670E-3,
1582.000,-1.68184168E-3,
1584.000,-5.74566831E-4,
1586.000,1.73558190E-4,
1588.000,7.41725264E-4,
1590.00,-6.14225064E-5,
1592.000,1.54007343E-3,
1594.000,9.93793830E-4,
1596.000,-1.41256023E-3,
1598.000,-6.13828597E-5,
1600.00,-3.48184461E-4,
1602.000,-6.97486103E-5,
1604.000,-8.75474652E-4,
1606.000,-1.11408124E-3,
1608.000,1.56897149E-4,
1610.00,-6.16106961E-4,
1612.000,-1.12234754E-3,
1614.000,2.08905534E-4,
1616.000,-1.13476661E-3,
1618.000,-1.42497104E-3,
1620.00,-1.91582099E-3,
1622.000,-1.13686279E-3,
1624.000,-8.81727377E-4,
1626.000,1.24596909E-3,
1628.000,-6.09850453E-4,
1630.00,4.60704643E-4,
1632.000,1.81888958E-4,
1634.000,1.78006338E-3,
1636.000,-8.73456360E-4,
1638.000,2.86068465E-3,
1640.00,4.83609940E-4,
1642.000,-2.45777355E-3,
1644.000,1.75621040E-4,
1646.000,1.53382565E-3,
1648.000,6.89692737E-4,
1650.00,-1.12650055E-3,
1652.000,2.61171930E-3,
1654.000,-8.50581797E-4,
1656.000,-8.79669504E-4,
1658.000,2.32944661E-3,
1660.00,2.63266382E-3,
1662.000,-8.63048190E-4,
1664.000,-4.68316284E-5,
1666.000,7.31278560E-4,
1668.000,-8.71358905E-4,
1670.00,1.27102365E-3,
1672.000,-1.41876575E-3,
1674.000,7.50027248E-4,
1676.000,-6.09810872E-4,
1678.000,4.64793382E-4,
1680.00,4.81505936E-4,
1682.000,4.46096703E-4,
1684.000,7.52172258E-4,
1686.000,1.76756107E-3,
1688.000,7.16701208E-4,
1690.00,-1.63629488E-3,
1692.000,1.96448338E-4,
1694.000,1.00416737E-3,
1696.000,2.07245792E-3,
1698.000,-1.10992813E-3,
1700.00,-3.66885768E-4,
1702.000,-8.58853164E-4,
1704.000,9.87553969E-4,
1706.000,-5.51580088E-5,
1708.000,-8.83785193E-4,
1710.00,-1.39595929E-3,
1712.000,-6.97486103E-5,
1714.000,-4.56748484E-3,
1716.000,9.87514155E-4,
1718.000,-8.69301031E-4,
1720.00,2.35245051E-3,
1722.000,-8.84222754E-5,
1724.000,2.07452988E-3,
1726.000,1.71495369E-4,
1728.000,-2.18068738E-3,
1730.00,2.06827442E-3,
1732.000,-2.47019390E-3,
1734.000,9.87514155E-4,
