Labels,MOF 3 O2 420 nm 10 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9999.000,
Step,1.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

748.00,-1.36072503E-3,
749.00,1.41464558E-3,
750.00,1.42128381E-3,
751.00,2.25408422E-3,
752.00,-5.78353756E-5,
753.00,1.33780035E-4,
754.00,1.84245221E-3,
755.00,9.79017816E-4,
756.00,9.80659970E-4,
757.00,5.50388475E-4,
758.00,9.98881413E-4,
759.00,-1.54185540E-3,
760.00,-3.15426587E-4,
761.00,-2.64292117E-4,
762.00,1.41464558E-3,
763.00,1.42128381E-3,
764.00,3.91606358E-4,
765.00,-1.06588111E-3,
766.00,6.97646639E-4,
767.00,1.00052357E-3,
768.00,9.40903847E-4,
769.00,1.62187056E-3,
770.00,-1.54022279E-3,
771.00,7.93594751E-4,
772.00,-3.10514908E-4,
773.00,1.61926029E-4,
774.00,5.71904588E-4,
775.00,-4.95356857E-4,
776.00,9.93891736E-4,
777.00,9.77312564E-4,
778.00,3.20529623E-4,
779.00,-6.40512211E-4,
780.00,-4.82138479E-4,
781.00,5.52029000E-4,
782.00,-2.67566909E-4,
783.00,1.19263818E-3,
784.00,3.43705527E-4,
785.00,3.45345237E-4,
786.00,-8.79615312E-4,
787.00,1.64672907E-3,
788.00,7.68816681E-4,
789.00,-9.17535101E-4,
790.00,-2.51066725E-4,
791.00,-2.54341605E-4,
792.00,1.13955997E-4,
793.00,5.85123897E-4,
794.00,-2.79154483E-4,
795.00,-2.74179416E-4,
796.00,1.41796470E-3,
797.00,-2.97290913E-4,
798.00,5.76889375E-4,
799.00,3.47016467E-4,
800.00,-1.14825263E-3,
801.00,7.90312013E-4,
802.00,-6.75149728E-4,
803.00,-5.45589937E-5,
804.00,3.47016467E-4,
805.00,5.75185695E-4,
806.00,-1.55664270E-3,
807.00,1.50295498E-4,
808.00,1.22906803E-3,
809.00,1.43784832E-3,
810.00,1.37820013E-3,
811.00,-1.12188666E-3,
812.00,5.63638750E-4,
813.00,-9.27439018E-4,
814.00,3.68490932E-4,
815.00,-7.04814389E-4,
816.00,-8.09898702E-5,
817.00,1.65172562E-4,
818.00,7.73740583E-4,
819.00,1.32141126E-4,
820.00,-6.89966546E-4,
821.00,1.43120985E-3,
822.00,1.25491017E-4,
823.00,7.91921804E-4,
824.00,1.43285363E-3,
825.00,1.20420195E-3,
826.00,-5.78668769E-5,
827.00,9.73996823E-4,
828.00,-2.64292117E-4,
829.00,1.85406487E-3,
830.00,-8.77980201E-4,
831.00,1.65004993E-3,
832.00,-1.16487017E-5,
833.00,-7.31237174E-4,
834.00,7.90280406E-4,
835.00,1.40398755E-4,
836.00,-1.76072516E-3,
837.00,3.60197446E-4,
838.00,1.61894510E-4,
839.00,1.48656531E-4,
840.00,1.42624683E-3,
841.00,9.78986267E-4,
842.00,-2.85735325E-4,
843.00,1.00882933E-3,
844.00,1.61355315E-3,
845.00,1.01375603E-3,
846.00,-3.02234199E-4,
847.00,7.68785074E-4,
848.00,-1.34096819E-3,
849.00,-1.33273844E-3,
850.00,1.61894510E-4,
851.00,5.50388475E-4,
852.00,9.87260020E-4,
853.00,5.65279275E-4,
854.00,1.41796470E-3,
855.00,-6.99907076E-4,
856.00,1.39144412E-3,
857.00,2.30884808E-3,
858.00,-1.95153814E-3,
859.00,1.37820013E-3,
860.00,4.21377510E-4,
861.00,-9.74965442E-5,
862.00,-7.60125477E-5,
863.00,-1.13178592E-3,
864.00,8.00192007E-4,
865.00,7.72067695E-4,
866.00,-7.14754569E-4,
867.00,-6.76817028E-4,
868.00,-4.73892549E-4,
869.00,-7.19661650E-4,
870.00,-4.62341646E-4,
871.00,2.07973481E-3,
872.00,-2.42816372E-4,
873.00,-9.04329587E-4,
874.00,-3.96889445E-5,
875.00,-3.20401159E-4,
876.00,-1.13012036E-3,
877.00,1.21415453E-3,
878.00,-3.08877672E-4,
879.00,-2.49397766E-4,
880.00,7.72036146E-4,
881.00,-4.88716236E-4,
882.00,-1.32617354E-3,
883.00,-2.90710246E-4,
884.00,-1.55833806E-3,
885.00,-6.78452896E-4,
886.00,-4.98629932E-4,
887.00,1.37120893E-4,
888.00,-2.56010535E-4,
889.00,1.19096367E-3,
890.00,-7.18025956E-4,
891.00,-2.54341605E-4,
892.00,-3.22038337E-4,
893.00,-1.98404214E-5,
894.00,7.62156793E-4,
895.00,5.75185695E-4,
896.00,-5.01934439E-4,
897.00,-4.96993423E-4,
898.00,-5.16788627E-4,
899.00,1.53636487E-4,
900.00,-1.11528707E-3,
901.00,9.65754909E-4,
902.00,1.02370419E-3,
903.00,2.27397471E-3,
904.00,1.43708152E-4,
905.00,5.61998226E-4,
906.00,2.26732320E-3,
907.00,-5.01934439E-4,
908.00,-9.29073896E-4,
909.00,1.15626353E-4,
910.00,-2.72510573E-4,
911.00,-2.81567150E-3,
912.00,-6.68574765E-4,
913.00,-6.11432333E-5,
914.00,7.95267755E-4,
915.00,-6.96604082E-4,
916.00,-2.98959669E-4,
917.00,1.50295498E-4,
918.00,7.65407807E-4,
919.00,1.66811587E-4,
920.00,-8.76052145E-5,
921.00,-2.62654707E-4,
922.00,-4.62310185E-4,
923.00,-2.59316905E-4,
924.00,-1.94987562E-3,
925.00,5.75217244E-4,
926.00,-6.28129055E-5,
927.00,-5.11816295E-4,
928.00,1.43739657E-4,
