Labels,MOF 2 430nm 1000 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,9.999E005,
Step,100.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

7.01E04,-6.70476397E-3,
7.02E04,-3.34845646E-3,
7.03E04,1.28620630E-3,
7.04E04,6.18043414E-4,
7.05E04,-4.80719464E-5,
7.06E04,-7.09643064E-4,
7.07E04,-3.38657992E-3,
7.08E04,-9.38560907E-3,
7.09E04,-7.09692773E-4,
7.1E04,4.61806450E-3,
7.11E04,-2.70918710E-3,
7.12E04,-4.04969277E-3,
7.13E04,-7.35010998E-3,
7.14E04,-8.05155560E-3,
7.15E04,1.28676556E-3,
7.16E04,-1.38656190E-3,
7.17E04,1.28625589E-3,
7.18E04,6.15006546E-4,
7.19E04,-7.09643064E-4,
7.2E04,-4.04100120E-3,
7.21E04,-4.55154768E-5,
7.22E04,-1.37270731E-3,
7.23E04,3.28521407E-3,
7.24E04,3.93564254E-3,
7.25E04,-3.37894727E-3,
7.26E04,5.92440506E-3,
7.27E04,-2.04607355E-3,
7.28E04,-3.40201287E-3,
7.29E04,-7.20446580E-4,
7.3E04,6.18043414E-4,
7.31E04,-2.04607355E-3,
7.32E04,6.21160783E-4,
7.33E04,-4.70204605E-3,
7.34E04,-2.67625554E-3,
7.35E04,-2.71578482E-3,
7.36E04,2.62269122E-3,
7.37E04,-7.06129998E-4,
7.38E04,-4.80719464E-5,
7.39E04,-3.40981595E-3,
7.4E04,-5.40520344E-3,
7.41E04,-4.81713287E-5,
7.42E04,-2.06302456E-3,
7.43E04,-2.72250175E-3,
7.44E04,5.95092960E-3,
7.45E04,1.28523167E-3,
7.46E04,-2.01811711E-3,
7.47E04,-2.06302456E-3,
7.48E04,1.28579431E-3,
7.49E04,-4.03233524E-3,
7.5E04,-6.02122489E-3,
7.51E04,-4.55154768E-5,
7.52E04,5.95753687E-3,
7.53E04,1.95288321E-3,
7.54E04,6.18093065E-4,
7.55E04,-4.03766098E-5,
7.56E04,-2.04045791E-3,
7.57E04,3.28782434E-3,
7.58E04,-6.99037337E-4,
7.59E04,-7.35010905E-3,
7.6E04,-1.37280638E-3,
7.61E04,2.61345226E-3,
7.62E04,1.95089402E-3,
7.63E04,2.61802576E-3,
7.64E04,-3.37894773E-3,
7.65E04,-4.29668289E-5,
7.66E04,-7.13216665E-4,
7.67E04,2.61345226E-3,
7.68E04,-7.20446580E-4,
7.69E04,6.22588559E-4,
7.7E04,-3.78930672E-5,
7.71E04,-5.06362849E-5,
7.72E04,-3.37894773E-3,
7.73E04,-4.30164619E-5,
7.74E04,-3.36360605E-3,
7.75E04,-3.38657945E-3,
7.76E04,-6.05650200E-3,
7.77E04,-7.06129998E-4,
7.78E04,3.27248010E-3,
7.79E04,-1.39124168E-3,
7.8E04,-4.04100120E-3,
7.81E04,2.62109819E-3,
7.82E04,2.61497218E-3,
7.83E04,-4.02369583E-3,
7.84E04,6.22638036E-4,
7.85E04,-1.37270731E-3,
7.86E04,-4.04100120E-3,
7.87E04,4.61342046E-3,
7.88E04,-5.36208693E-3,
7.89E04,3.28011694E-3,
7.9E04,4.63193376E-3,
7.91E04,1.95396179E-3,
7.92E04,-4.71179560E-3,
7.93E04,6.19579572E-4,
7.94E04,-7.06030987E-4,
7.95E04,-4.71174624E-3,
7.96E04,3.28521407E-3,
7.97E04,-6.69202022E-3,
7.98E04,4.60427348E-3,
7.99E04,-7.09692773E-4,
8E04,1.95293291E-3,
8.01E04,-2.70918710E-3,
8.02E04,1.95135188E-3,
8.03E04,-1.35912735E-3,
8.04E04,5.30428626E-3,
8.05E04,1.28368358E-3,
8.06E04,-7.13166897E-4,
8.07E04,-5.32582671E-5,
8.08E04,3.28521407E-3,
8.09E04,2.61807535E-3,
8.1E04,-4.29670217E-5,
8.11E04,-2.72245170E-3,
8.12E04,-4.80719464E-5,
8.13E04,3.94272432E-3,
8.14E04,6.60584169E-3,
8.15E04,1.95186073E-3,
8.16E04,-7.09643064E-4,
8.17E04,6.22638036E-4,
8.18E04,-2.70918710E-3,
8.19E04,-1.38194603E-3,
8.2E04,3.94984987E-3,
